Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,PeakHeight,Offline,rawSpinAxis,rawCarryGame,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,SmashFactor,Date,DistanceToPin_Yrds
86.40351,130.8337,119.7752,1483.526,547,1.420615,2,4.782531,5.491848,2.800107,21.63646,54.91126,W5,84.18356,1.027353,4.414919,1.57296,-0.5456074,1.422786,4/12/2025 11:40,72.72 yds
65.91171,116.695,123.4864,1646.447,-1419,-2.477616,3.103084,4.56543,3.646046,-5.369081,-59.52563,52.14872,W5,87.71603,6.719175,7.549949,-4.039779,10.75895,1.407798,4/12/2025 11:40,88.45 yds
172.48,177.5834,130.0271,1890.536,-45,-1.892901,6.997993,14.5068,25.33507,-6.889439,-1.363927,174.1217,W5,85.67402,-0.7089238,-0.4109627,-2.196428,1.487504,1.517696,4/12/2025 11:40,25.69 yds
173.8901,197.5854,128.0136,2097.68,-106,-4.74194,7.172009,16.50919,27.78881,-17.01126,-2.896505,174.2633,W5,84.65077,-2.352281,1.89474,-5.414515,3.062234,1.512256,4/12/2025 11:40,20.8 yds
174.6851,210.511,131.4083,1760.539,-614,-2.478051,8.071787,16.37711,27.75245,-23.21526,-20.4113,173.6739,W5,85.98721,0.192251,2.628213,-3.046065,3.238316,1.528231,4/12/2025 11:40,32.45 yds
125.017,129.1927,130.1765,1572.611,1527,0.8855155,11.21473,14.21437,21.4347,21.42221,76.16699,122.7362,W5,87.83917,2.914416,2.727071,0.6340746,2.280342,1.481987,4/12/2025 11:40,78.22 yds
66.31229,117.9496,124.1287,1719.624,-1472,-8.801499,2,4.243208,3.822754,-7.182243,-58.87053,36.91979,W5,90.04713,1.471275,2.186636,-10.93906,12.41034,1.378486,4/12/2025 11:40,92.93 yds
178.8295,213.0564,129.1573,1877.743,-466,-2.215074,8.392551,17.67368,30.61489,-19.32964,-14.36927,177.6061,W5,85.67298,1.821705,3.549948,-2.97413,4.795835,1.507562,4/12/2025 11:40,30.67 yds
156.9045,176.1978,128.2045,1484.048,-900,-1.960281,9.781791,15.15317,26.59609,-25.2873,-37.33319,156.0212,W5,84.26293,-0.5955977,2.844374,-2.295719,1.700121,1.521482,4/12/2025 11:40,42.44 yds
203.9783,216.1629,129.5711,2638.664,139,-0.9607567,12.0599,31.38101,64.43614,0.9415857,3.019635,202.4504,W5,86.88327,1.066403,3.226963,-1.33207,2.398473,1.491324,4/12/2025 11:40,14.37 yds
116.7301,156.6144,124.5701,1729.804,-261,-6.43078,2,6.673399,8.468585,-10.46001,-8.678169,81.04356,W5,89.20289,1.277643,1.001986,-8.023455,9.301098,1.396481,4/12/2025 11:40,53.32 yds
193.8565,221.2608,130.6525,1863.861,-556,-3.76753,10.53511,22.12181,43.30497,-30.35844,-17.35586,192.6059,W5,87.30164,1.747252,4.305255,-4.85275,6.600002,1.496564,4/12/2025 11:40,39.72 yds
185.7496,198.1918,133.7964,1895.673,-573,-0.3032642,8.154374,16.97826,31.3904,-17.24273,-17.59383,185.7944,W5,89.57587,3.008764,4.967745,-0.8275176,3.836281,1.493666,4/12/2025 11:40,18.98 yds
204.7276,218.595,129.1573,1988.064,16,1.813327,12.21123,26.16278,55.18087,6.985672,0.4611231,202.77,W5,87.02393,-1.812626,0.2868433,2.483661,-4.296287,1.484159,4/12/2025 11:40,17.51 yds
102.5351,110.4358,83.91733,6471.486,,-6.867877,18.34375,35.09261,41.82693,-16.63112,,102.5033,PW,,,,,,,4/14/2025 17:27,105.96 yds
98.20016,105.1211,85.02911,6505.868,,-12.82027,15.42965,29.99464,32.4211,-32.90228,,98.29009,PW,,,,,,,4/14/2025 17:27,119.99 yds
33.77076,54.02659,45.12566,1367.317,,1.00247,23.65524,24.84233,11.97154,0.6870427,,33.82113,PW,,,,,,,4/14/2025 17:27,159.29 yds
93.15984,99.53074,77.69058,7275.974,,-3.873165,21.87543,37.18369,44.26656,-5.187669,,93.18185,PW,,,,,,,4/14/2025 17:27,114.06 yds
89.0318,96.02724,76.57207,7354.231,,-2.587417,19.53359,33.2641,36.55033,-1.115425,,89.1172,PW,,,,,,,4/14/2025 17:27,117.29 yds
98.4691,105.0711,81.6171,7804.034,,-3.320804,18.82846,34.927,41.72112,-5.80326,,98.47842,PW,,,,,,,4/14/2025 17:27,108.59 yds
107.8018,114.6497,87.33044,7257.412,,-7.208886,17.99351,36.68718,45.47237,-21.90036,,108.0364,PW,,,,,,,4/14/2025 17:27,103.86 yds
110.7233,117.1025,87.1914,6936.732,,-4.144029,21.80281,40.89686,57.73531,-13.93809,,110.7857,PW,,,,,,,4/14/2025 17:27,98.32 yds
86.62021,95.18605,73.39795,4844.813,,-2.816883,23.90219,36.514,41.29002,-7.521984,,86.63531,PW,,,,,,,4/14/2025 17:27,118.81 yds
113.7741,120.0682,89.30878,7089.643,,-3.907767,21.02846,41.35099,58.26117,-16.47957,,113.8511,PW,,,,,,,4/14/2025 17:27,96.21 yds
79.96643,90.41535,70.51292,4220.787,,-2.683897,22.2409,31.91481,33.4216,-5.314755,,80.09334,PW,,,,,,,4/14/2025 17:27,123.25 yds
102.9916,109.7393,84.11038,7449.844,,-5.265286,18.62335,36.51915,44.01982,-12.45863,,103.131,PW,,,,,,,4/14/2025 17:27,105.25 yds
64.53222,78.76025,66.10998,5086.223,,-8.100738,18.82142,26.85299,21.17694,-14.60105,,64.63414,PW,,,,,,,4/14/2025 17:27,138.14 yds
63.93132,75.97056,63.28339,4654.542,,-1.720619,21.13959,28.97768,23.74166,-3.428317,,64.01285,PW,,,,,,,4/14/2025 17:27,137.52 yds
104.9867,110.9305,83.97341,6948.418,,-3.543903,21.58447,39.51198,52.40821,-8.221489,,105.1047,PW,,,,,,,4/14/2025 17:27,103.09 yds
101.3408,108.4937,81.62408,6153.592,,-6.393905,22.32335,39.1925,50.2167,-8.55434,,101.4379,PW,,,,,,,4/14/2025 17:27,105.57 yds
93.96955,102.2517,79.03011,5825.541,,-2.565448,20.7021,35.40216,40.38747,-12.70615,,94.0196,PW,,,,,,,4/14/2025 17:27,113.01 yds
109.0715,114.3319,87.91202,6514.934,,-9.810864,19.37963,37.18264,48.21328,-32.31228,,109.0836,PW,,,,,,,4/14/2025 17:27,109.82 yds
114.8193,122.6961,90.67639,4110.002,,-5.607426,17.17459,31.98034,41.82338,-24.40768,,114.9001,I8,,,,,,,4/14/2025 17:27,97.37 yds
119.0494,130.6375,96.98661,4388.58,,-8.858489,13.206,27.31065,34.43158,-34.57407,,119.1829,I8,,,,,,,4/14/2025 17:27,97.06 yds
111.7429,123.9457,87.36387,3827.362,,-3.648337,18.60219,32.60714,43.45046,-14.82152,,111.8198,I8,,,,,,,4/14/2025 17:27,92.16 yds
124.5642,134.1995,96.724,5928.363,,-2.022209,14.30535,32.91513,44.7826,-9.227227,,124.5723,I8,,,,,,,4/14/2025 17:27,80.16 yds
74.18443,101.4353,77.20003,2712.174,,-5.336029,15.11895,20.45245,18.36557,-15.77582,,74.24628,I8,,,,,,,4/14/2025 17:27,117.49 yds
